event date,volunteer number,event budge,event type,volunteer certification,total number,event location,volunteer's bonus,volunteer's score,satisfy
6/5/2015,37,4000,Chamber of Commerce,Y,600,West Vancouver,155,30,Y
8/17/2015,27,2000,Festival,Y,600,Vancouver,37,10,Y
6/18/2015,27,3000,Nature House Volunteer,Y,100,Burnaby,63,30,Y
8/16/2015,11,3000,Study buddy Tutor,Y,50,Vancouver,166,10,N
1/28/2015,34,3000,Study buddy Tutor,Y,600,West Vancouver,498,20,Y
2/5/2015,32,3000,Food Hamper Volunteer,Y,300,Coquitlam,356,20,Y
8/10/2015,13,3000,Nature House Volunteer,Y,300,North Vancouver,119,20,Y
7/8/2015,38,1000,Speech,Y,50,Coquitlam,99,40,Y
2/10/2015,29,1000,Equipment Sorter,Y,300,Coquitlam,464,40,Y
7/27/2015,40,3000,Training,Y,100,Coquitlam,377,10,Y
7/26/2015,28,2000,Childen Program,Y,100,New Westminster,69,40,Y
6/11/2015,22,3000,Parade,Y,500,Langley,19,50,Y
9/5/2015,34,4000,Fundraising,Y,300,Maple Ridge,286,10,Y
1/25/2015,25,3000,Special Event,Y,200,Richmond,287,50,Y
2/26/2015,31,1000,Equipment Sorter,Y,600,Coquitlam,230,20,Y
8/11/2015,15,1000,Community Visitor,Y,200,Burnaby,91,10,N
9/23/2015,25,1000,Social Media,N,300,New Westminster,363,50,Y
1/13/2015,20,2000,Contest,N,100,Langley,223,40,Y
2/26/2015,38,1000,Contest,Y,600,Langley,247,50,Y
3/1/2015,21,3000,Childcare,Y,200,Coquitlam,155,40,Y
10/10/2015,13,4000,Childen Program,Y,500,Burnaby,257,30,Y
7/3/2015,36,4000,In-School Mentor,Y,200,Coquitlam,311,30,Y
8/7/2015,34,2000,Urban Native Youth Association,Y,200,North Vancouver,415,20,Y
4/25/2015,19,3000,Office Volunteer,Y,200,Langley,175,10,Y
10/4/2015,38,2000,Equipment Sorter,Y,200,Coquitlam,294,20,N
7/24/2015,25,4000,Equipment Sorter,Y,100,North Vancouver,240,40,N
1/27/2015,33,4000,Party,Y,500,Vancouver,336,10,Y
3/1/2015,26,4000,Fundraising,Y,200,Richmond,106,30,Y
5/15/2015,23,3000,Community Visitor,Y,400,Richmond,137,40,Y
1/10/2015,35,1000,Museum Tour Guide,Y,500,Richmond,420,10,Y
4/13/2015,12,1000,Fitness Class,Y,100,Burnaby,403,20,N
9/2/2015,32,4000,Graphic Design,Y,400,Langley,134,10,Y
6/20/2015,19,2000,Festival,Y,400,Burnaby,422,20,Y
4/2/2015,20,3000,Fundraising,Y,200,North Vancouver,274,10,Y
4/21/2015,14,2000,Survey,Y,200,New Westminster,142,10,Y
5/6/2015,25,1000,Recreation Assistants,Y,600,Richmond,246,20,Y
6/18/2015,28,1000,Urban Native Youth Association,Y,100,Coquitlam,121,50,Y
6/24/2015,27,1000,Big Sister Program,Y,100,Burnaby,413,30,Y
2/17/2015,32,2000,Childen Program,Y,50,Coquitlam,44,30,Y
7/23/2015,27,1000,Survey,Y,300,Richmond,75,30,N
8/21/2015,27,1000,Market Volunteer,Y,500,Langley,342,20,Y
5/28/2015,19,3000,Food Hamper Volunteer,Y,600,Richmond,149,10,Y
5/22/2015,32,4000,Development Volunteer,Y,400,Coquitlam,13,10,Y
6/21/2015,28,4000,Childcare,N,50,New Westminster,345,50,Y
10/20/2015,40,4000,Urban Native Youth Association,Y,400,Richmond,143,50,N
5/4/2015,34,3000,Special Event,Y,400,Burnaby,171,10,Y
1/14/2015,29,1000,Party,Y,50,New Westminster,105,30,Y
3/2/2015,11,4000,Parade,Y,400,Maple Ridge,487,40,Y
9/24/2015,35,2000,Social Media,Y,400,Vancouver,216,20,Y
5/5/2015,12,2000,Big Sister Program,Y,200,West Vancouver,160,20,Y
1/19/2015,32,4000,Museum Tour Guide,Y,50,Burnaby,414,40,Y
8/19/2015,22,1000,Health Product Study,Y,200,Maple Ridge,50,50,Y
7/13/2015,26,2000,Survey,Y,300,Burnaby,424,10,N
4/17/2015,40,4000,Nature House Volunteer,Y,100,Burnaby,21,20,Y
